algorithm_id,time(ms),calls
1, 484, 50
2, 489, 50
3, 381, 50
4, 520, 50
5, 1549, 50
1, 930, 100
2, 955, 100
3, 779, 100
4, 1023, 100
5, 3057, 100
1, 1344, 150
2, 1428, 150
3, 1122, 150
4, 1510, 150
5, 3082, 150
1, 1792, 200
2, 1922, 200
3, 1482, 200
4, 2083, 200
5, 6301, 200
1, 2253, 250
2, 2368, 250
3, 1922, 250
4, 2546, 250
5, 7236, 250
1, 2721, 300
2, 2867, 300
3, 2321, 300
4, 3060, 300
5, 8745, 300
1, 3209, 350
2, 3334, 350
3, 2699, 350
4, 3568, 350
5, 8954, 350
1, 3604, 400
2, 3823, 400
3, 3088, 400
4, 4061, 400
5, 11689, 400
1, 4643, 450
2, 4832, 450
3, 3771, 450
4, 4906, 450
5, 8550, 450
1, 4498, 500
2, 4736, 500
3, 3678, 500
4, 5051, 500
5, 13191, 500
1, 9030, 1000
2, 9529, 1000
3, 7436, 1000
4, 10056, 1000
5, 26376, 1000
1, 18182, 2000
2, 19010, 2000
3, 14784, 2000
4, 20144, 2000
5, 57992, 2000
